"fielding.start","fielding.end","mid_date","pollster","sample","what","y"
2013-10-03,2013-10-06,2013-10-04,"Essential",1035.1,"LNP",42.7205101
2013-10-05,2013-10-06,2013-10-05,"Morgan MM",3199,"LNP",42
2013-10-10,2013-10-10,2013-10-10,"ReachTEL",3636,"LNP",45.4
2013-10-10,2013-10-13,2013-10-11,"Essential",1038.4,"LNP",44.27966102
2013-10-17,2013-10-20,2013-10-18,"Essential",1012,"LNP",44.23913043
2013-10-19,2013-10-20,2013-10-19,"Morgan MM",3280,"LNP",43.5
2013-10-24,2013-10-27,2013-10-25,"Essential",1076.9,"LNP",45.65883555
2013-10-25,2013-10-27,2013-10-26,"Newspoll",1142,"LNP",47
2013-10-31,2013-11-03,2013-11-01,"Essential",1089,"LNP",44.64646465
2013-11-02,2013-11-03,2013-11-02,"Morgan MM",2077,"LNP",41.5
2013-11-07,2013-11-10,2013-11-08,"Essential",1050.5,"LNP",43.56020942
2013-11-08,2013-11-10,2013-11-09,"Newspoll",1140,"LNP",45
2013-11-14,2013-11-17,2013-11-15,"Essential",1037.3,"LNP",44.6447508
2013-11-16,2013-11-17,2013-11-16,"Morgan MM",2005,"LNP",42.5
2013-11-21,2013-11-21,2013-11-21,"ReachTEL",3971,"LNP",43.8
2013-11-21,2013-11-24,2013-11-22,"Nielsen",1400,"LNP",41
2013-11-21,2013-11-24,2013-11-22,"Essential",1013.1,"LNP",44.51682953
2013-11-22,2013-11-24,2013-11-23,"Newspoll",1133,"LNP",43
2013-11-28,2013-12-01,2013-11-29,"Essential",1065.9,"LNP",43.78563284
2013-11-30,2013-12-01,2013-11-30,"Morgan MM",2018,"LNP",41.5
2013-12-05,2013-12-08,2013-12-06,"Essential",1086.8,"LNP",44.02834008
2013-12-06,2013-12-08,2013-12-07,"Newspoll",1149,"LNP",40
2013-12-07,2013-12-15,2013-12-11,"Morgan MM",2879,"LNP",40.5
2013-12-12,2013-12-15,2013-12-13,"Essential",1069.2,"LNP",43.51851852
